date,value
2024-10-21,2993
2024-10-22,9459
2024-10-23,9230
2024-10-24,6840
2024-10-25,7122
2024-10-26,7377
2024-10-27,1602
2024-10-28,68
2024-10-29,6833
2024-10-30,9368
2024-10-31,6901
2024-11-01,5529
2024-11-02,3248
2024-11-03,5416
2024-11-04,7020
2024-11-05,7887
2024-11-06,4923
2024-11-07,7786
2024-11-08,6219
2024-11-09,2465
2024-11-10,4036
2024-11-11,2776
2024-11-12,6763
2024-11-13,4262
2024-11-14,5346
2024-11-15,2007
2024-11-16,8228
2024-11-17,1300
2024-11-18,3202
2024-11-19,7351
2024-11-20,5825
2024-11-21,3749
2024-11-22,3057
2024-11-23,6390
2024-11-24,2149
2024-11-25,7194
2024-11-26,6463
2024-11-27,4368
2024-11-28,6298
2024-11-29,5092
2024-11-30,812
2024-12-01,4197
2024-12-02,2885
2024-12-03,4107
2024-12-04,1994
2024-12-05,4293
2024-12-06,4899
2024-12-07,8927
2024-12-08,5450
2024-12-09,2636
2024-12-10,9306
2024-12-11,6963
2024-12-12,2753
2024-12-13,4176
2024-12-14,7786
2024-12-15,2385
2024-12-16,8543
2024-12-17,3089
2024-12-18,8480
2024-12-19,3314
2024-12-20,5887
2024-12-21,4122
2024-12-22,3077
2024-12-23,7705
2024-12-24,5473
